index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,native-country,Y
4643,17,Private,34572,11th,7,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States,1
11739,23,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
4053,23,Private,132652,9th,5,Widowed,Exec-managerial,Not-in-family,Black,Female,United-States,0
3597,30,Private,132652,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
16018,36,Private,24694,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,1
13959,29,Private,132652,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,United-States,0
13369,33,Private,132652,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,United-States,0
1431,39,Private,132652,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
8351,41,Private,132652,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
8329,35,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
5055,38,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
4046,21,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
16671,28,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
3212,23,Private,24694,Some-college,10,Divorced,Exec-managerial,Other-relative,White,Male,United-States,0
6747,18,Private,132652,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,0
12265,19,Private,132652,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,0
1403,37,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,1
16040,36,Private,132652,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
8685,23,Private,132652,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,1
1914,18,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,0
8150,31,Private,132652,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,United-States,0
12514,31,Private,132652,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,0
2579,19,Private,132652,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,0
9283,19,Private,132652,Some-college,9,Never-married,Sales,Own-child,White,Female,United-States,0
9869,50,?,132652,Masters,14,Married-civ-spouse,?,Husband,White,Male,United-States,1
460,36,Private,132652,Bachelors,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
10741,50,Self-emp-not-inc,132652,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
1974,39,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
13365,38,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
16781,19,Private,132652,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,United-States,0
2754,35,Self-emp-inc,132652,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,0
12309,30,Private,132652,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
2458,17,Private,132652,10th,6,Never-married,Craft-repair,Own-child,White,Male,United-States,0
7281,41,Private,132652,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
7354,23,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
15566,23,Private,132652,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
12164,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
273,23,Private,132652,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,United-States,0
618,50,Local-gov,132652,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
6277,36,?,132652,Bachelors,13,Never-married,?,Not-in-family,White,Male,United-States,0
9236,17,Self-emp-not-inc,132652,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
811,23,Private,132652,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
2373,24,Private,132652,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Female,United-States,0
7019,28,Private,132652,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Female,United-States,0
544,20,Private,132652,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
1432,43,State-gov,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
1997,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,United-States,1
10603,23,?,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,0
16527,27,?,132652,Bachelors,13,Divorced,?,Not-in-family,White,Male,United-States,0
4290,33,Private,132652,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,United-States,0
3447,24,Private,132652,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,United-States,0
9184,50,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
910,23,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
2599,23,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
9596,36,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
13519,20,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,Black,Male,United-States,0
3443,28,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
8307,21,?,132652,Some-college,10,Married-civ-spouse,?,Husband,White,Male,United-States,1
839,27,Self-emp-not-inc,132652,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
5555,55,Self-emp-not-inc,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
9298,17,Self-emp-not-inc,132652,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
2694,18,Private,132652,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,United-States,0
8735,32,?,132652,Bachelors,13,Widowed,?,Unmarried,White,Female,United-States,0
11030,19,Private,132652,Some-college,10,Never-married,Exec-managerial,Unmarried,Black,Female,United-States,0
5716,50,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
6687,22,Private,132652,Some-college,10,Never-married,Protective-serv,Other-relative,White,Male,United-States,0
15368,19,Private,132652,11th,7,Never-married,Handlers-cleaners,Own-child,White,Female,United-States,0
1830,24,Private,132652,10th,6,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
1498,50,?,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,1
2442,20,Local-gov,132652,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,United-States,0
2789,23,Private,132652,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
5712,36,Federal-gov,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
451,19,Private,132652,Some-college,10,Widowed,Sales,Not-in-family,White,Female,United-States,0
10990,17,?,132652,Masters,14,Never-married,?,Not-in-family,White,Male,United-States,0
12490,23,?,132652,HS-grad,9,Never-married,?,Not-in-family,White,Female,United-States,0
12047,32,?,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,0
15354,32,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
13760,17,Private,24694,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
10852,23,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
16909,24,Private,132652,9th,5,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,0
8744,19,Private,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
2520,18,Private,132652,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
46,24,Private,132652,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,United-States,0
5668,27,Private,132652,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,United-States,0
11170,23,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
5984,36,Self-emp-inc,132652,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,0
7324,17,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
12530,21,?,132652,HS-grad,9,Divorced,?,Own-child,White,Female,United-States,0
6221,23,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
4056,30,Private,132652,HS-grad,9,Widowed,Sales,Unmarried,White,Female,United-States,0
844,23,Private,132652,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,1
2768,23,Self-emp-not-inc,132652,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
10457,24,Federal-gov,132652,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,United-States,0
1161,31,Private,132652,Some-college,10,Divorced,Sales,Not-in-family,White,Female,United-States,0
4753,20,Private,132652,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
8734,23,Private,132652,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
1159,19,Self-emp-not-inc,132652,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,United-States,1
10452,23,Private,132652,9th,5,Never-married,Sales,Unmarried,Black,Male,United-States,0
9382,24,Private,132652,Some-college,10,Never-married,?,Own-child,White,Female,United-States,0
3172,23,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
11507,17,Private,132652,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
16440,38,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
11872,17,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
1475,19,Private,132652,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Male,United-States,0
15433,19,?,132652,HS-grad,9,Widowed,?,Unmarried,White,Female,United-States,0
4197,22,Private,132652,11th,7,Never-married,Other-service,Not-in-family,Black,Male,United-States,0
8141,21,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
14277,50,Private,132652,Some-college,10,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,United-States,0
9715,17,Private,132652,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
9262,28,Private,132652,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,0
16729,22,Self-emp-not-inc,132652,Some-college,10,Never-married,Sales,Unmarried,White,Male,United-States,0
10211,23,Private,132652,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
8134,17,Private,132652,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
582,20,Private,132652,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
10296,32,Private,132652,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
7276,23,Private,132652,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,United-States,0
13452,25,Private,132652,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,0
12894,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
8598,17,Local-gov,132652,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
1852,29,Private,132652,Masters,14,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
12778,19,Private,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,0
10427,32,Private,132652,11th,7,Never-married,Other-service,Own-child,White,Male,United-States,0
14453,19,Private,132652,Some-college,10,Never-married,Sales,Unmarried,White,Female,United-States,0
2685,36,Private,132652,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,0
14185,31,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
5306,24,Private,132652,Some-college,10,Never-married,Other-service,Unmarried,White,Male,United-States,0
4774,37,Self-emp-inc,132652,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
10805,42,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
11620,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,United-States,0
1118,23,Private,132652,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
16680,58,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
3203,22,Self-emp-not-inc,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
4657,22,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
5242,23,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
16832,28,Private,132652,Assoc-acdm,12,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
2594,31,?,132652,HS-grad,9,Widowed,?,Not-in-family,White,Female,United-States,0
850,19,Private,132652,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,United-States,0
4016,32,Self-emp-not-inc,132652,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,United-States,0
2446,17,Private,132652,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
10357,29,Self-emp-not-inc,24694,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,0
3379,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
11442,27,Self-emp-not-inc,132652,Masters,14,Never-married,Tech-support,Own-child,White,Male,United-States,0
2652,45,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
11646,34,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
13433,23,Private,132652,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
2217,31,Private,132652,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,United-States,0
8464,37,Self-emp-not-inc,132652,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
15367,30,Private,132652,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,United-States,0
5116,27,Private,132652,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,United-States,1
10891,41,Private,132652,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
14330,38,Private,132652,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,United-States,0
56,19,Private,132652,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
3706,36,Private,132652,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,0
14326,23,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
8070,19,Private,132652,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,0
537,33,Private,132652,Assoc-voc,11,Divorced,Sales,Unmarried,White,Female,United-States,0
2057,17,State-gov,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
13426,50,Self-emp-inc,132652,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
9963,30,Private,132652,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
7103,36,Private,132652,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,1
4687,18,Private,132652,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
10829,37,Private,132652,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,0
2380,38,Private,132652,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
5570,38,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
1626,23,Private,132652,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
6757,28,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
1073,20,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
12997,19,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
16108,24,Private,132652,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
9020,33,Private,132652,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,United-States,0
938,39,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
12165,43,Private,132652,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,United-States,0
6541,17,?,132652,HS-grad,9,Divorced,?,Not-in-family,White,Female,United-States,0
7180,55,Federal-gov,132652,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,1
4899,24,Private,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,United-States,0
5915,31,Private,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
8355,25,Private,132652,HS-grad,9,Never-married,Sales,Unmarried,White,Female,United-States,0
15377,17,Private,132652,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
13402,23,Private,132652,Bachelors,13,Divorced,Prof-specialty,Husband,White,Male,United-States,0
16206,25,Private,132652,HS-grad,9,Separated,Sales,Unmarried,White,Female,United-States,0
7980,17,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
98,17,Private,132652,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
14073,26,Private,132652,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Male,United-States,0
15493,23,Private,132652,Some-college,10,Never-married,Other-service,Unmarried,White,Female,United-States,0
6738,50,?,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,0
13486,23,?,132652,HS-grad,9,Divorced,?,Own-child,White,Male,United-States,0
6596,25,Private,132652,Assoc-voc,11,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,United-States,0
12518,17,Private,132652,11th,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
7357,45,Federal-gov,132652,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
15408,36,Private,132652,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
15370,35,Private,132652,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,0
7994,24,Private,132652,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,0
8296,47,Private,132652,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
6928,23,Private,132652,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States,0
15312,18,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
14628,19,Private,132652,12th,8,Never-married,Other-service,Not-in-family,White,Male,United-States,0
5448,25,Private,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,United-States,0
11690,17,Private,132652,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
9116,23,Private,132652,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,0
4411,24,Private,132652,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
5189,19,Private,132652,Some-college,10,Divorced,Other-service,Own-child,White,Female,United-States,0
1029,26,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
14245,50,Self-emp-not-inc,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
3885,23,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
7094,62,?,132652,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,United-States,1
7394,21,Self-emp-inc,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
5667,36,Private,132652,Assoc-voc,11,Separated,Machine-op-inspct,Unmarried,White,Female,United-States,0
16217,19,Private,132652,HS-grad,9,Never-married,Exec-managerial,Own-child,Black,Male,United-States,0
13785,26,Private,132652,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,0
10820,46,Private,132652,10th,6,Divorced,Other-service,Not-in-family,Black,Female,United-States,0
2423,17,Local-gov,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,0
1930,31,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,United-States,1
10686,17,Local-gov,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
7568,24,Private,132652,HS-grad,9,Never-married,?,Not-in-family,Black,Female,United-States,0
12226,28,Private,132652,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,United-States,0
584,30,Private,132652,Some-college,10,Never-married,Protective-serv,Unmarried,White,Female,United-States,0
6143,31,Private,132652,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
12865,22,Federal-gov,132652,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,0
11482,33,Private,132652,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,United-States,0
1456,37,Private,132652,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,0
4549,43,Self-emp-not-inc,132652,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
4915,23,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
12388,19,Private,132652,7th-8th,4,Separated,Other-service,Unmarried,Black,Female,United-States,0
10727,23,Private,132652,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Male,United-States,0
7730,23,Self-emp-inc,132652,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
8883,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
994,19,Private,132652,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
1874,32,Private,132652,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,United-States,1
13877,24,Private,132652,Bachelors,13,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,0
9552,20,Private,132652,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
2689,33,Private,132652,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,0
14709,31,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
7682,21,?,132652,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,0
9125,20,Private,132652,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,United-States,0
16697,31,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
13191,41,Private,132652,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
2398,36,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
14540,33,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
13861,29,Private,132652,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,0
66,31,Private,132652,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
2490,17,Self-emp-not-inc,132652,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
14735,19,Private,132652,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
2368,39,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,0
7976,29,Self-emp-not-inc,132652,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,United-States,0
10599,31,Private,132652,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,United-States,0
8996,50,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
10961,19,Private,132652,Assoc-voc,11,Never-married,Sales,Unmarried,White,Female,United-States,0
13281,23,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
10664,34,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
4174,19,Private,132652,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,United-States,0
9676,36,Local-gov,132652,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,0
16091,43,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
9228,21,Private,132652,Some-college,10,Never-married,Other-service,Own-child,White,Male,United-States,0
16863,36,Private,132652,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
9233,31,Private,132652,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,United-States,1
8499,24,Private,132652,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
12359,21,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
12500,19,Private,132652,11th,7,Widowed,Handlers-cleaners,Own-child,White,Male,United-States,0
14669,21,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
5210,33,Private,132652,Some-college,10,Separated,Other-service,Unmarried,White,Female,United-States,0
8215,23,Private,132652,Some-college,10,Divorced,Sales,Unmarried,Black,Female,United-States,0
3042,33,Local-gov,132652,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,United-States,0
11223,50,Private,132652,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
4265,17,State-gov,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
7840,24,Private,132652,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,0
14965,24,Private,132652,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,United-States,0
3448,29,Self-emp-not-inc,132652,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,United-States,0
12456,47,State-gov,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
1089,22,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
6079,19,Private,132652,HS-grad,9,Never-married,Sales,Unmarried,White,Male,United-States,0
8994,17,Private,132652,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,United-States,0
13823,21,Private,132652,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
7086,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
9565,17,Private,132652,11th,7,Married-civ-spouse,Adm-clerical,Own-child,White,Female,United-States,0
15792,19,Private,132652,11th,7,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,0
2701,32,?,132652,Some-college,10,Divorced,?,Not-in-family,White,Male,United-States,0
8553,23,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
13249,31,Private,132652,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,0
7269,36,?,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,0
7311,17,?,132652,Some-college,10,Married-civ-spouse,?,Husband,White,Male,United-States,0
